iter	Passed	Remaining
205	372	1434
206	374	1432
207	375	1431
208	377	1429
209	379	1427
210	381	1425
211	382	1423
212	384	1421
213	386	1419
214	388	1417
215	390	1416
216	392	1415
217	394	1413
218	395	1412
219	397	1410
220	399	1407
221	401	1405
222	402	1404
223	404	1402
224	406	1400
225	408	1398
226	410	1397
227	412	1395
228	413	1393
229	415	1392
230	418	1392
231	419	1389
232	421	1388
233	423	1386
234	425	1384
235	427	1383
236	429	1381
237	431	1380
238	433	1379
239	434	1377
240	436	1375
241	438	1374
242	440	1372
243	442	1370
244	444	1369
245	446	1367
246	447	1365
247	449	1363
248	451	1362
249	453	1359
250	455	1358
251	457	1357
252	459	1355
253	461	1354
254	463	1352
255	465	1351
256	466	1349
257	468	1347
258	470	1345
259	472	1344
260	474	1342
261	476	1340
262	477	1338
263	479	1337
264	481	1335
265	483	1332
266	484	1331
267	486	1329
268	488	1328
269	490	1326
270	492	1325
271	494	1324
272	496	1322
273	498	1320
274	500	1318
275	501	1316
276	503	1314
277	505	1312
278	507	1310
279	509	1309
280	510	1307
281	512	1305
282	514	1303
283	516	1301
284	517	1299
285	520	1298
286	522	1297
287	523	1295
288	525	1294
289	527	1292
290	529	1291
291	531	1289
292	533	1287
293	535	1286
294	537	1283
295	538	1281
296	540	1280
297	542	1278
298	544	1276
299	546	1274
300	548	1273
301	550	1271
302	551	1269
303	553	1268
304	555	1266
305	557	1263
306	559	1262
307	560	1259
308	562	1257
309	564	1255
310	565	1253
311	567	1252
312	569	1250
313	571	1249
314	574	1248
315	575	1246
316	577	1244
317	579	1242
318	581	1240
319	583	1238
320	584	1237
321	586	1235
322	588	1233
323	590	1231
324	591	1229
325	593	1227
326	595	1225
327	597	1223
328	598	1221
329	601	1220
330	602	1218
331	604	1216
332	606	1215
333	608	1213
334	610	1211
335	611	1208
336	613	1207
337	615	1205
338	617	1204
339	619	1202
340	621	1201
341	623	1199
342	625	1197
343	627	1196
344	628	1194
345	630	1192
346	632	1190
347	634	1189
348	636	1187
349	638	1185
350	640	1184
351	642	1182
352	644	1180
353	645	1178
354	647	1176
355	649	1174
356	651	1172
357	652	1170
358	654	1169
359	656	1167
360	658	1165
361	660	1163
362	661	1161
363	663	1159
364	665	1157
365	667	1155
366	669	1154
367	670	1152
368	672	1150
369	674	1148
370	676	1147
371	678	1145
372	680	1143
373	681	1141
374	683	1139
375	685	1137
376	687	1136
377	689	1134
378	691	1132
379	693	1130
380	694	1129
381	696	1127
382	698	1125
383	700	1123
384	702	1122
385	704	1120
386	705	1118
387	707	1116
388	709	1114
389	711	1112
390	713	1110
391	714	1108
392	716	1107
393	718	1105
394	720	1103
395	722	1101
396	724	1100
397	726	1098
398	727	1096
399	729	1094
400	731	1093
401	733	1091
402	735	1089
403	737	1087
404	739	1085
405	740	1083
406	742	1082
407	744	1080
408	746	1078
409	748	1076
410	750	1075
411	752	1073
412	754	1072
413	756	1070
414	757	1068
415	759	1066
416	761	1064
417	762	1062
418	764	1060
419	766	1058
420	768	1056
421	770	1054
422	772	1053
423	773	1051
424	775	1049
425	777	1047
426	779	1045
427	781	1044
428	782	1042
429	784	1040
430	786	1038
431	788	1036
432	790	1034
433	791	1032
434	793	1030
435	795	1028
436	797	1027
437	798	1025
438	800	1023
439	802	1021
440	804	1019
441	806	1017
442	807	1015
443	809	1013
444	811	1012
445	813	1010
446	815	1008
447	817	1007
448	819	1005
449	820	1003
450	822	1001
451	824	999
452	826	998
453	828	996
454	830	994
455	832	993
456	834	991
457	836	989
458	837	987
459	839	985
460	841	984
461	843	982
462	845	980
463	847	978
464	849	976
465	850	975
466	852	973
467	854	971
468	856	969
469	858	967
470	860	965
471	862	964
472	863	962
473	866	961
474	867	959
475	869	957
476	871	955
477	873	954
478	875	952
479	877	950
480	879	948
481	881	946
482	883	945
483	885	943
484	886	941
485	888	939
486	890	938
487	892	936
488	894	934
489	895	932
490	897	930
491	899	928
492	901	926
493	903	925
494	904	923
495	906	921
496	908	919
497	910	918
498	913	916
499	914	914
500	916	912
501	918	911
502	920	909
503	922	907
504	924	906
505	926	904
506	928	902
507	930	901
508	932	899
509	934	897
510	936	895
511	938	894
512	940	892
513	941	890
514	943	888
515	945	886
516	947	885
517	949	883
518	951	881
519	952	879
520	954	877
521	956	876
522	958	874
523	960	872
524	962	870
525	964	868
526	966	867
527	968	865
528	970	863
529	972	862
530	973	860
531	975	858
532	977	856
533	979	854
534	981	853
535	983	851
536	985	849
537	987	847
538	989	845
539	991	844
540	993	842
541	995	840
542	996	839
543	998	837
544	1000	835
545	1002	833
546	1003	831
547	1005	829
548	1007	827
549	1009	825
550	1011	824
551	1013	822
552	1014	820
553	1016	818
554	1018	816
555	1020	814
556	1022	812
557	1023	811
558	1025	809
559	1027	807
560	1029	805
561	1031	804
562	1033	802
563	1035	800
564	1038	799
565	1040	797
566	1042	796
567	1044	794
568	1046	792
569	1048	791
570	1050	789
571	1052	787
572	1054	785
573	1056	784
574	1058	782
575	1060	780
576	1062	778
577	1064	777
578	1066	775
579	1068	773
580	1069	771
581	1071	769
582	1073	767
583	1075	766
584	1077	764
585	1079	762
586	1080	760
587	1082	758
588	1084	756
589	1086	755
590	1088	753
591	1090	751
592	1092	749
593	1094	747
594	1096	746
595	1098	744
596	1100	742
597	1102	741
598	1104	739
599	1106	737
600	1108	735
601	1110	734
602	1112	732
603	1114	730
604	1116	728
605	1118	726
606	1119	724
607	1121	723
608	1123	721
609	1125	719
610	1126	717
611	1128	715
612	1130	713
613	1132	712
614	1134	710
615	1136	708
616	1137	706
617	1139	704
618	1141	702
619	1143	700
620	1145	699
621	1147	697
622	1149	695
623	1151	693
624	1153	691
625	1155	690
626	1157	688
627	1159	686
628	1161	684
629	1162	682
630	1164	681
631	1166	679
632	1168	677
633	1170	675
634	1172	673
635	1173	671
636	1175	669
637	1177	668
638	1179	666
639	1181	664
640	1182	662
641	1184	660
642	1186	658
643	1188	656
644	1190	654
645	1192	653
646	1193	651
647	1195	649
648	1197	647
649	1199	645
650	1201	644
651	1203	642
652	1205	640
653	1207	638
654	1209	636
655	1210	634
656	1212	633
657	1214	631
658	1216	629
659	1218	627
660	1220	625
661	1222	623
662	1223	622
663	1225	620
664	1227	618
665	1229	616
666	1231	614
667	1232	612
668	1234	610
669	1236	609
670	1238	607
671	1240	605
672	1242	603
673	1243	601
674	1245	599
675	1247	597
676	1248	595
677	1250	593
678	1252	592
679	1254	590
680	1256	588
681	1258	586
682	1260	584
683	1262	583
684	1264	581
685	1265	579
686	1267	577
687	1269	575
688	1271	573
689	1273	572
690	1275	570
691	1277	568
692	1278	566
693	1280	564
694	1282	562
695	1284	560
696	1286	559
697	1287	557
698	1289	555
699	1291	553
700	1292	551
701	1294	549
702	1296	547
703	1298	545
704	1300	544
705	1302	542
706	1303	540
707	1305	538
708	1307	536
709	1309	534
710	1311	532
711	1313	531
712	1315	529
713	1316	527
714	1318	525
715	1320	523
716	1322	522
717	1324	520
718	1326	518
719	1328	516
720	1330	514
721	1332	513
722	1334	511
723	1336	509
724	1338	507
725	1340	505
726	1341	503
727	1343	502
728	1345	500
729	1347	498
730	1348	496
731	1350	494
732	1352	492
733	1354	490
734	1356	489
735	1358	487
736	1360	485
737	1362	483
738	1363	481
739	1366	479
740	1367	478
741	1369	476
742	1371	474
743	1373	472
744	1375	470
745	1377	468
746	1378	467
747	1380	465
748	1382	463
749	1384	461
750	1385	459
751	1387	457
752	1389	455
753	1390	453
754	1392	451
755	1394	450
756	1396	448
757	1398	446
758	1399	444
759	1401	442
760	1403	440
761	1405	438
762	1406	437
763	1408	435
764	1410	433
765	1412	431
766	1413	429
767	1415	427
768	1417	425
769	1419	423
770	1421	422
771	1423	420
772	1424	418
773	1426	416
774	1428	414
775	1430	412
776	1431	410
777	1433	409
778	1435	407
779	1437	405
780	1438	403
781	1440	401
782	1442	399
783	1443	397
784	1445	395
785	1447	394
786	1449	392
787	1451	390
788	1452	388
789	1454	386
790	1456	384
791	1458	382
792	1459	381
793	1461	379
794	1463	377
795	1465	375
796	1467	373
797	1469	371
798	1470	370
799	1472	368
800	1474	366
801	1476	364
802	1477	362
803	1479	360
804	1481	358
805	1482	356
806	1484	355
807	1486	353
808	1488	351
809	1489	349
810	1491	347
811	1493	345
812	1495	343
813	1497	342
814	1498	340
815	1500	338
816	1502	336
817	1504	334
818	1505	332
819	1507	330
820	1509	329
821	1510	327
822	1512	325
823	1514	323
824	1516	321
825	1518	319
826	1520	318
827	1521	316
828	1523	314
829	1525	312
830	1526	310
831	1528	308
832	1530	306
833	1532	305
834	1534	303
835	1536	301
836	1538	299
837	1539	297
838	1541	295
839	1543	293
840	1545	292
841	1546	290
842	1548	288
843	1550	286
844	1552	284
845	1553	282
846	1555	280
847	1557	279
848	1558	277
849	1560	275
850	1562	273
851	1564	271
852	1566	269
853	1567	268
854	1569	266
855	1571	264
856	1572	262
857	1574	260
858	1576	258
859	1578	256
860	1595	257
861	1597	255
862	1599	253
863	1600	252
864	1602	250
865	1604	248
866	1606	246
867	1607	244
868	1609	242
869	1611	240
870	1612	238
871	1614	237
872	1616	235
873	1618	233
874	1619	231
875	1621	229
876	1623	227
877	1624	225
878	1626	223
879	1628	222
880	1630	220
881	1632	218
882	1634	216
883	1635	214
884	1637	212
885	1639	210
886	1641	209
887	1642	207
888	1644	205
889	1646	203
890	1648	201
891	1650	199
892	1651	197
893	1653	196
894	1655	194
895	1657	192
896	1659	190
897	1660	188
898	1662	186
899	1664	184
900	1666	183
901	1667	181
902	1669	179
903	1671	177
904	1673	175
905	1674	173
906	1676	171
907	1678	170
908	1680	168
909	1681	166
910	1683	164
911	1685	162
912	1687	160
913	1688	158
914	1690	157
915	1692	155
916	1694	153
917	1696	151
918	1697	149
919	1699	147
920	1701	145
921	1702	144
922	1704	142
923	1706	140
924	1708	138
925	1709	136
926	1711	134
927	1713	132
928	1715	131
929	1717	129
930	1719	127
931	1721	125
932	1722	123
933	1724	121
934	1726	120
935	1728	118
936	1730	116
937	1731	114
938	1733	112
939	1735	110
940	1736	108
941	1738	107
942	1740	105
943	1742	103
944	1743	101
945	1745	99
946	1747	97
947	1749	95
948	1750	94
949	1752	92
950	1754	90
951	1755	88
952	1757	86
953	1759	84
954	1761	82
955	1763	81
956	1765	79
957	1767	77
958	1769	75
959	1771	73
960	1772	71
961	1774	70
962	1776	68
963	1778	66
964	1780	64
965	1781	62
966	1783	60
967	1785	59
968	1786	57
969	1788	55
970	1790	53
971	1792	51
972	1794	49
973	1796	47
974	1797	46
975	1799	44
976	1801	42
977	1802	40
978	1804	38
979	1806	36
980	1808	35
981	1809	33
982	1811	31
983	1813	29
984	1815	27
985	1816	25
986	1818	23
987	1820	22
988	1822	20
989	1823	18
990	1825	16
991	1827	14
992	1829	12
993	1830	11
994	1832	9
995	1834	7
996	1836	5
997	1837	3
998	1839	1
999	1841	0
