iter	Logloss
0	0.6817243122
1	0.6707474654
2	0.6612443903
3	0.6500666557
4	0.6413950745
5	0.631607025
6	0.622743143
7	0.6162297349
8	0.607850898
9	0.6013361593
10	0.5950875209
11	0.5894696743
12	0.5825441692
13	0.576996589
14	0.5720172106
15	0.5674814641
16	0.5624365351
17	0.5560250542
18	0.5518787719
19	0.546700184
20	0.5434161317
21	0.5397187813
22	0.5356158383
23	0.5306757775
24	0.5277943098
25	0.5241650035
26	0.5206347837
27	0.5175193715
28	0.5144633204
29	0.5113742454
30	0.508832074
31	0.50467464
32	0.502576371
33	0.5000758668
34	0.4976430551
35	0.4949340938
36	0.4931870303
37	0.4915021982
38	0.4896361942
39	0.4880913077
40	0.4863900785
41	0.4848449173
42	0.4830506188
43	0.4807302326
44	0.4794561351
45	0.4778957421
46	0.4760029735
47	0.4740281032
48	0.472563997
49	0.4708684908
50	0.4691971782
51	0.4676061113
52	0.4660486487
53	0.4647118785
54	0.4633817232
55	0.4618534425
56	0.4602692378
57	0.4590141393
58	0.4575474495
59	0.4561557044
60	0.4551633638
61	0.4541771576
62	0.4530770767
63	0.4514842131
64	0.4504743988
65	0.4495532594
66	0.4484563354
67	0.4475675001
68	0.4461987461
69	0.4452677727
70	0.4443163377
71	0.4428131682
72	0.441799389
73	0.4408963228
74	0.4399673543
75	0.439110989
76	0.438141608
77	0.4370777662
78	0.4360749315
79	0.4352140329
80	0.4343951921
81	0.4337055368
82	0.4329669884
83	0.4320320554
84	0.4313277351
85	0.4306307105
86	0.4296312294
87	0.4286257553
88	0.4279243809
89	0.4273632981
90	0.426806306
91	0.426201954
92	0.4252014196
93	0.4242789629
94	0.4236104997
95	0.4229062803
96	0.4220348433
97	0.421651747
98	0.4212070744
99	0.4205747349
100	0.4197518321
101	0.4187663779
102	0.4183875428
103	0.4177944704
104	0.4172686941
105	0.4165430331
106	0.4160672019
107	0.4151085712
108	0.4146961438
109	0.4141646018
110	0.413468723
111	0.413134078
112	0.4124215481
113	0.4118707664
114	0.411408954
115	0.4110378655
116	0.4106186798
117	0.4102766553
118	0.4095225352
119	0.4089107779
120	0.4085415325
121	0.4080669236
122	0.4077052789
123	0.4071640578
124	0.4065058777
125	0.4060496928
126	0.4054352533
127	0.4048945042
128	0.404377384
129	0.40407388
130	0.4031983965
131	0.4027593902
132	0.4023356281
133	0.4015361554
134	0.400757551
135	0.4003793077
136	0.3998863144
137	0.3996033752
138	0.3992640683
139	0.3990134502
140	0.3987084681
141	0.3982900933
142	0.3979232301
143	0.3975402792
144	0.3972737782
145	0.3969063356
146	0.3965386921
147	0.3962990243
148	0.3960717243
149	0.3958324378
150	0.3955611775
151	0.3950708733
152	0.3946201305
153	0.394283127
154	0.3940253064
155	0.3937355881
156	0.3933283452
157	0.3930743042
158	0.3927549212
159	0.3925880205
160	0.3922899245
161	0.3917118581
162	0.3912056232
163	0.3909233278
164	0.3905458754
165	0.3902468605
166	0.3899296639
167	0.3896645249
168	0.3893704458
169	0.3889166279
170	0.388514717
171	0.388188254
172	0.387989019
173	0.3875795636
174	0.3871138533
175	0.3868669861
176	0.3866095764
177	0.3860063334
178	0.3858195592
179	0.3854747882
180	0.3852587428
181	0.3849768153
182	0.3846657872
183	0.3844807894
184	0.3840794004
185	0.3836903379
186	0.3834501091
187	0.3831425044
188	0.3829487265
189	0.3826004433
190	0.3823235292
191	0.3820736277
192	0.3816639078
193	0.3814219379
194	0.3812275524
195	0.3810200076
196	0.3807154387
197	0.380294674
198	0.3801037548
199	0.3798969441
200	0.3795795724
201	0.3793944116
202	0.3792159955
203	0.378926704
204	0.3787074285
205	0.3785201737
206	0.3782056331
207	0.3779664647
208	0.3778508337
209	0.3775689434
210	0.3773443231
211	0.3770623184
212	0.3769245485
213	0.3766283491
214	0.3763923313
215	0.3758375079
216	0.3757016205
217	0.3754070903
218	0.3752481053
219	0.3750874695
220	0.374901566
221	0.3747357666
222	0.3744699973
223	0.3743213023
224	0.3741592218
225	0.3740290046
226	0.3738948935
227	0.3736593096
228	0.3735083982
229	0.3733272227
230	0.3731702275
231	0.372872166
232	0.372717901
233	0.372457895
234	0.3723237926
235	0.3721676588
236	0.3719703312
237	0.3714793086
238	0.3713108261
239	0.3711228064
240	0.3708780105
241	0.3706290709
242	0.3704404467
